name,platform_group,platform,year_of_release,genre,na_sales,eu_sales,jp_sales,total_sales,other_sales,critic_score,user_score,rating,rat_sem
wii sports,Nintendo,Wii,2006,Sports,41.36,28.96,3.77,82.53999999999999,8.45,76.0,8.0,E,Everyone
super mario bros.,Nintendo,NES,1985,Platform,29.08,3.58,6.81,40.24,0.77,,,,Pending
mario kart wii,Nintendo,Wii,2008,Racing,15.68,12.76,3.79,35.519999999999996,3.29,82.0,8.3,E,Everyone
wii sports resort,Nintendo,Wii,2009,Sports,15.61,10.93,3.28,32.77,2.95,80.0,8.0,E,Everyone
pokemon red/pokemon blue,Nintendo,GB,1996,Role-Playing,11.27,8.89,10.22,31.380000000000003,1.0,,,,Pending
tetris,Nintendo,GB,1989,Puzzle,23.2,2.26,4.22,30.259999999999998,0.58,,,,Pending
new super mario bros.,Nintendo,DS,2006,Platform,11.28,9.14,6.5,29.8,2.88,89.0,8.5,E,Everyone
wii play,Nintendo,Wii,2006,Misc,13.96,9.18,2.93,28.91,2.84,58.0,6.6,E,Everyone
new super mario bros. wii,Nintendo,Wii,2009,Platform,14.44,6.94,4.7,28.32,2.24,87.0,8.4,E,Everyone
duck hunt,Nintendo,NES,1984,Shooter,26.93,0.63,0.28,28.31,0.47,,,,Pending
nintendogs,Nintendo,DS,2005,Simulation,9.05,10.95,1.93,24.67,2.74,,,,Pending
mario kart ds,Nintendo,DS,2005,Racing,9.71,7.47,4.13,23.209999999999997,1.9,91.0,8.6,E,Everyone
pokemon gold/pokemon silver,Nintendo,GB,1999,Role-Playing,9.0,6.18,7.2,23.09,0.71,,,,Pending
wii fit,Nintendo,Wii,2007,Sports,8.92,8.03,3.6,22.7,2.15,80.0,7.7,E,Everyone
kinect adventures!,XBox,X360,2010,Misc,15.0,4.89,0.24,21.82,1.69,61.0,6.3,E,Everyone
wii fit plus,Nintendo,Wii,2009,Sports,9.01,8.49,2.53,21.8,1.77,80.0,7.4,E,Everyone
grand theft auto v,PlayStation,PS3,2013,Action,7.02,9.09,0.98,21.05,3.96,97.0,8.2,M,Mature
grand theft auto san andreas,PlayStation,PS2,2004,Action,9.43,0.4,0.41,20.810000000000002,10.57,95.0,9.0,M,Mature
super mario world,Nintendo,SNES,1990,Platform,12.78,3.75,3.54,20.62,0.55,,,,Pending
brain age train your brain in minutes a day,Nintendo,DS,2005,Misc,4.74,9.2,4.16,20.14,2.04,77.0,7.9,E,Everyone
pokemon diamond/pokemon pearl,Nintendo,DS,2006,Role-Playing,6.38,4.46,6.04,18.24,1.36,,,,Pending
super mario land,Nintendo,GB,1989,Platform,10.83,2.71,4.18,18.14,0.42,,,,Pending
super mario bros. 3,Nintendo,NES,1988,Platform,9.54,3.44,3.84,17.28,0.46,,,,Pending
grand theft auto v,XBox,X360,2013,Action,9.66,5.14,0.06,16.27,1.41,97.0,8.1,M,Mature
grand theft auto vice city,PlayStation,PS2,2002,Action,8.41,5.49,0.47,16.150000000000002,1.78,95.0,8.7,M,Mature
pokemon ruby/pokemon sapphire,Nintendo,GBA,2002,Role-Playing,6.06,3.9,5.38,15.84,0.5,,,,Pending
brain age 2 more training in minutes a day,Nintendo,DS,2005,Puzzle,3.43,5.35,5.32,15.28,1.18,77.0,7.1,E,Everyone
pokemon black/pokemon white,Nintendo,DS,2010,Role-Playing,5.51,3.17,5.65,15.13,0.8,,,,Pending
gran turismo 3 a-spec,PlayStation,PS2,2001,Racing,6.85,5.09,1.87,14.969999999999999,1.16,95.0,8.4,E,Everyone
call of duty modern warfare 3,XBox,X360,2011,Shooter,9.04,4.24,0.13,14.73,1.32,88.0,3.4,M,Mature
pokémon yellow special pikachu edition,Nintendo,GB,1998,Role-Playing,5.89,5.04,3.12,14.64,0.59,,,,Pending
call of duty black ops 3,PlayStation,PS4,2015,Shooter,6.03,5.86,0.36,14.629999999999999,2.38,,,,Pending
call of duty black ops,XBox,X360,2010,Shooter,9.7,3.68,0.11,14.619999999999997,1.13,87.0,6.3,M,Mature
pokemon x/pokemon y,Nintendo,3DS,2013,Role-Playing,5.28,4.19,4.35,14.6,0.78,,,,Pending
call of duty black ops ii,PlayStation,PS3,2012,Shooter,4.99,5.73,0.65,13.790000000000001,2.42,83.0,5.3,M,Mature
call of duty black ops ii,XBox,X360,2012,Shooter,8.25,4.24,0.07,13.68,1.12,83.0,4.8,M,Mature
call of duty modern warfare 2,XBox,X360,2009,Shooter,8.52,3.59,0.08,13.469999999999999,1.28,94.0,6.3,M,Mature
call of duty modern warfare 3,PlayStation,PS3,2011,Shooter,5.54,5.73,0.49,13.33,1.57,88.0,3.2,M,Mature
grand theft auto iii,PlayStation,PS2,2001,Action,6.99,4.51,0.3,13.100000000000001,1.3,97.0,8.5,M,Mature
super smash bros. brawl,Nintendo,Wii,2008,Fighting,6.62,2.55,2.66,12.84,1.01,93.0,8.9,T,Teens
mario kart 7,Nintendo,3DS,2011,Racing,5.03,4.02,2.69,12.65,0.91,85.0,8.2,E,Everyone
